playerId,noOfMontrealMarathons,numAllRaces,averageRuntimeInMarathons,category,didTheyAttend
476,2,22,14292,57.0,0
477,1,2,13815,47.0,0
478,1,2,18267,37.0,1
479,0,0,15645,37.0,1
480,1,1,16763,42.0,0
481,1,9,16333,57.0,0
482,1,9,12483,37.0,0
483,1,22,15509,32.0,0
484,1,1,13854,27.0,0
485,0,0,15810,32.0,1
486,1,31,11204,32.0,0
487,1,2,13759,52.0,0
488,0,0,15810,32.0,1
489,2,4,16370,42.0,0
490,0,2,15810,32.0,1
491,0,0,15810,32.0,1
492,1,2,13186,37.0,0
493,0,0,15810,32.0,1
494,0,2,15838,47.0,1
495,1,3,16386,37.0,0
497,1,3,12634,42.0,0
498,1,1,11760,21.0,0
499,1,1,21956,32.0,0
500,2,3,14684,37.0,0
501,1,1,13468,37.0,0
503,1,2,23344,32.0,0
505,1,1,15080,47.0,0
506,1,1,16099,52.0,0
507,1,7,19673,32.0,0
508,0,0,15838,47.0,1
510,1,9,15919,27.0,0
512,1,2,15851,42.0,0
514,1,2,18189,37.0,0
515,1,12,16169,52.0,0
517,1,3,11639,42.0,0
518,0,1,16115,52.0,1
520,0,0,16166,21.0,1
521,1,4,15929,27.0,0
522,1,1,20371,47.0,0
523,1,1,16401,37.0,1
524,0,0,15645,37.0,1
525,0,0,15919,27.0,1
527,1,1,21716,42.0,0
528,1,2,13961,37.0,0
529,1,2,11711,37.0,0
530,1,4,13611,21.0,0
531,1,5,18313,47.0,0
532,1,1,21749,42.0,0
533,1,2,14033,62.0,0
534,0,0,16166,21.0,1
535,0,0,15645,37.0,1
536,0,2,15810,32.0,1
537,0,0,16166,21.0,1
538,0,0,16115,52.0,1
539,0,2,15645,37.0,1
540,0,1,15810,32.0,1
541,1,1,12761,57.0,0
542,0,0,15838,47.0,1
543,1,2,15417,37.0,0
544,0,0,15674,42.0,1
546,1,1,24526,27.0,0
548,2,4,13040,27.0,0
549,1,18,16465,52.0,0
550,1,1,17464,27.0,0
551,1,21,12892,37.0,0
553,0,0,16166,21.0,1
554,1,3,15768,42.0,0
555,1,3,13962,42.0,0
556,0,0,15674,42.0,1
557,1,6,14995,37.0,0
560,0,0,15645,37.0,1
561,1,1,18666,21.0,0
562,1,1,20347,37.0,0
563,1,1,13822,32.0,0
564,2,7,12417,27.0,0
567,0,0,16166,21.0,1
569,1,1,14876,21.0,0
570,0,0,16166,21.0,1
571,1,1,14970,27.0,0
572,1,1,16827,32.0,0
573,0,4,15838,47.0,1
574,0,1,15810,32.0,1
575,0,0,15674,42.0,1
576,1,1,19690,27.0,0
577,3,15,14884,52.0,1
578,0,0,15810,32.0,1
579,1,1,15838,47.0,0
580,0,4,16152,57.0,1
581,1,2,13812,37.0,0
582,1,1,17956,32.0,0
583,1,5,18017,42.0,0
584,0,0,15810,32.0,1
585,0,0,16152,57.0,1
586,1,5,20840,27.0,0
587,0,0,15645,37.0,1
588,2,4,20638,32.0,0
589,1,6,21049,37.0,0
590,1,3,13871,21.0,0
591,0,2,16166,21.0,1
592,1,5,15549,47.0,0
593,1,4,17081,27.0,0
594,1,5,11720,47.0,0
595,1,1,13095,37.0,0
596,1,1,13925,37.0,0
597,1,1,16396,27.0,0
598,0,0,15674,42.0,1
601,0,1,15810,32.0,1
602,0,0,15645,37.0,1
603,1,3,15732,37.0,0
604,0,1,15919,27.0,1
606,1,4,15642,37.0,0
607,0,0,15919,27.0,1
608,0,0,16115,52.0,1
609,1,4,15437,37.0,0
610,1,14,14801,37.0,0
611,1,1,14446,42.0,0
612,0,0,15838,47.0,1
613,2,15,17161,37.0,0
614,0,0,16166,21.0,1
615,1,4,16086,42.0,0
616,0,0,15645,37.0,1
618,0,1,15838,47.0,1
619,1,1,17054,27.0,0
620,1,1,13716,57.0,0
622,1,1,21170,37.0,0
623,0,0,16166,21.0,1
624,1,3,12767,37.0,0
625,0,0,15810,32.0,1
626,1,1,17892,37.0,0
627,0,0,16115,52.0,1
628,1,7,17645,32.0,0
629,1,4,11091,27.0,0
630,0,2,15674,42.0,1
631,1,1,22167,16.0,0
632,1,2,11748,42.0,0
633,0,0,15674,42.0,1
634,1,4,13920,37.0,0
635,2,4,18419,52.0,1
636,1,1,14948,32.0,0
637,1,1,11939,47.0,0
638,2,6,14823,47.0,1
641,0,0,15674,42.0,1
642,1,4,13989,32.0,0
644,0,0,16115,52.0,1
645,1,7,14737,32.0,0
647,0,0,15674,42.0,1
648,1,1,11407,27.0,0
649,1,17,17057,37.0,0
650,1,3,15166,27.0,0
651,1,1,14628,57.0,0
653,1,11,12375,37.0,0
654,1,12,15645,37.0,0
655,1,1,14086,21.0,0
656,0,1,15674,42.0,1
657,2,5,12557,32.0,0
658,1,1,14100,37.0,0
659,1,2,13124,27.0,0
660,1,1,14235,27.0,0
661,1,5,19997,52.0,0
662,1,1,14423,27.0,0
664,2,3,17237,37.0,0
665,1,2,16369,42.0,0
666,1,1,14423,32.0,0
669,1,5,10450,42.0,0
670,0,1,16152,57.0,1
671,2,4,14540,32.0,0
672,1,1,14896,27.0,0
673,2,4,13220,47.0,1
674,1,3,15372,42.0,0
675,0,0,15810,32.0,1
676,1,7,10173,37.0,0
677,1,6,11496,42.0,0
678,0,0,15838,47.0,1
680,1,1,18213,16.0,0
681,0,5,15838,47.0,1
682,0,0,15838,47.0,1
683,0,0,15674,42.0,1
684,1,5,13012,37.0,0
685,0,0,16166,21.0,1
686,0,0,15674,42.0,1
687,1,8,10539,27.0,0
688,0,0,16152,57.0,1
689,1,1,11589,37.0,0
690,1,4,16115,52.0,0
691,1,2,14996,27.0,0
692,1,3,17682,21.0,0
693,0,0,15838,47.0,1
694,1,1,18646,27.0,0
695,0,0,15919,27.0,1
696,0,0,15919,27.0,1
698,0,0,15645,37.0,1
699,2,22,10534,27.0,0
701,0,1,15810,32.0,1
702,0,1,15810,32.0,1
704,1,2,14414,37.0,0
705,1,4,13392,27.0,0
706,1,1,12540,37.0,0
708,1,8,14733,42.0,0
709,0,1,15645,37.0,1
710,1,1,13883,21.0,0
711,1,5,14869,27.0,0
712,1,2,18356,37.0,0
714,1,1,16296,21.0,0
715,0,0,16166,21.0,1
717,0,0,16115,52.0,1
718,1,1,12148,32.0,0
719,0,2,15838,47.0,1
720,1,1,18695,27.0,0
721,2,22,15159,57.0,0
722,1,4,21323,32.0,0
723,0,0,16115,52.0,1
724,2,7,18164,47.0,0
727,1,1,14213,42.0,0
728,0,0,15674,42.0,1
729,0,0,15645,37.0,1
730,0,0,16115,52.0,1
731,1,1,13995,21.0,0
733,1,2,14052,21.0,0
734,1,5,15697,37.0,0
735,0,0,15645,37.0,1
736,2,5,12329,42.0,0
737,1,3,13988,32.0,0
738,1,5,16707,37.0,0
740,2,4,13767,42.0,1
741,1,1,23502,32.0,0
744,1,3,14887,27.0,0
745,0,2,15674,42.0,1
746,0,0,15810,32.0,1
747,0,0,15919,27.0,1
748,1,7,16996,37.0,0
749,1,1,15857,32.0,0
751,1,23,14325,42.0,0
752,1,2,14544,27.0,0
754,0,8,15674,42.0,1
755,1,1,19185,67.0,0
758,1,3,17458,47.0,0
759,0,0,15674,42.0,1
760,0,0,16152,57.0,1
761,1,2,17119,37.0,0
763,2,3,16057,27.0,0
764,0,0,15838,47.0,1
765,1,2,12057,42.0,0
766,0,1,15810,32.0,1
767,1,3,13416,27.0,0
768,0,0,0,,1
770,1,14,16408,47.0,0
771,1,2,19279,32.0,0
772,1,1,19885,42.0,0
773,1,5,15714,37.0,0
774,0,0,16771,62.0,1
775,2,6,14616,27.0,0
776,2,4,13140,37.0,0
777,1,3,14854,52.0,0
778,0,0,15674,42.0,1
779,0,1,16166,21.0,1
780,0,1,18316,47.0,1
781,1,1,21672,21.0,0
782,0,0,15919,27.0,1
783,1,16,14944,32.0,0
785,0,0,15645,37.0,1
786,0,2,15810,32.0,1
787,1,6,15167,37.0,0
788,1,4,20525,27.0,0
789,0,0,15919,27.0,1
790,0,4,16152,57.0,1
791,1,1,14845,21.0,0
792,2,4,13320,27.0,0
793,1,1,14868,32.0,0
794,1,7,18034,32.0,0
795,1,8,14375,37.0,1
797,3,15,9839,37.0,0
798,1,5,16695,32.0,0
799,1,5,19475,42.0,0
800,0,1,15645,37.0,1
801,1,4,12701,27.0,0
802,0,0,15838,47.0,1
803,1,6,12918,52.0,0
804,1,5,13713,21.0,0
805,1,8,13894,37.0,1
806,2,3,21871,32.0,0
807,0,2,15645,37.0,1
808,1,1,16357,32.0,0
809,1,1,21760,37.0,0
810,1,1,15567,42.0,0
811,1,3,11333,37.0,0
812,0,0,15838,47.0,1
813,1,1,11703,37.0,0
814,1,2,13334,27.0,0
815,1,6,13789,42.0,0
816,0,0,15674,42.0,1
818,1,2,20320,27.0,0
819,1,1,17752,52.0,0
820,1,4,17517,42.0,0
821,1,6,17357,42.0,0
822,2,8,12628,47.0,0
823,1,1,16344,52.0,0
824,1,4,17287,62.0,0
825,1,2,12167,32.0,0
826,0,0,15810,32.0,1
827,0,0,16115,52.0,1
828,1,1,12332,42.0,0
829,1,1,18418,37.0,0
830,0,0,15674,42.0,1
831,0,0,16166,21.0,1
832,1,3,12665,37.0,0
833,1,1,23191,27.0,0
834,0,2,16152,57.0,1
835,1,1,16846,42.0,0
836,0,0,15919,27.0,1
837,1,1,16370,32.0,0
838,0,0,15919,27.0,1
839,0,0,15919,27.0,1
840,1,2,15684,21.0,0
841,1,5,15653,52.0,0
844,1,1,16193,27.0,1
846,1,2,21711,67.0,0
847,1,1,15904,57.0,0
848,1,1,13191,52.0,0
849,1,1,19389,27.0,0
850,1,1,15465,37.0,0
851,1,1,24180,47.0,0
852,2,3,15889,52.0,0
853,0,0,16166,21.0,1
854,1,3,16468,32.0,0
855,1,2,11699,27.0,0
857,0,3,15645,37.0,1
858,1,3,15731,42.0,0
859,0,0,16152,57.0,1
860,0,0,16166,21.0,1
861,1,5,12221,62.0,0
862,1,8,17315,32.0,0
863,1,1,18622,47.0,0
864,1,2,15947,57.0,0
865,1,2,17819,37.0,0
866,0,0,16166,21.0,1
867,1,1,13659,37.0,0
868,0,0,15838,47.0,1
869,0,0,16166,21.0,1
870,1,7,16170,32.0,0
871,0,0,15919,27.0,1
872,1,1,23844,42.0,0
873,0,3,15838,47.0,1
874,1,14,11229,47.0,0
875,1,2,13885,32.0,0
876,1,1,13299,42.0,0
877,0,0,15919,27.0,1
878,1,4,20689,37.0,0
879,0,0,15810,32.0,1
880,0,0,15674,42.0,1
881,0,0,16115,52.0,1
882,2,7,16531,37.0,0
883,0,2,15645,37.0,1
884,1,1,14554,37.0,0
885,1,4,15014,37.0,0
886,1,8,12952,27.0,0
887,0,0,15645,37.0,1
888,1,1,14651,27.0,0
891,0,2,15674,42.0,1
892,1,2,15587,37.0,0
893,1,1,21203,62.0,0
894,1,3,13647,52.0,0
895,0,0,15674,42.0,1
896,1,2,14725,37.0,0
898,1,15,18150,42.0,0
899,1,3,15752,27.0,0
900,1,3,13686,42.0,0
903,1,3,13493,32.0,0
904,1,2,16244,47.0,0
905,1,1,17683,47.0,0
906,1,1,13780,21.0,0
907,1,1,11089,27.0,0
908,0,5,16115,52.0,1
909,1,1,13032,42.0,0
913,0,0,15919,27.0,1
914,0,0,15810,32.0,1
915,0,1,15838,47.0,1
916,0,0,15919,27.0,1
917,1,3,15641,37.0,0
918,1,9,13223,47.0,0
919,1,3,19358,42.0,0
920,1,4,14091,32.0,0
921,1,1,15699,37.0,0
923,0,0,16152,57.0,1
924,1,7,12776,52.0,0
925,0,0,15645,37.0,1
926,1,15,20071,52.0,0
927,1,6,14687,27.0,0
928,2,11,11493,42.0,0
929,0,0,15919,27.0,1
930,0,0,15674,42.0,1
931,1,3,20769,57.0,0
932,2,2,12888,21.0,0
933,1,20,13251,42.0,0
934,0,0,15645,37.0,1
936,1,11,15006,42.0,0
937,0,0,16115,52.0,1
938,0,0,15810,32.0,1
939,1,1,24241,57.0,0
940,0,1,15838,47.0,1
941,2,8,13605,42.0,0
942,0,1,16166,21.0,1
943,0,0,16115,52.0,1
944,0,0,15645,37.0,1
945,0,0,15645,37.0,1
946,0,0,16166,21.0,1
947,1,1,14420,27.0,0
948,0,2,16115,52.0,1
949,0,0,16166,21.0,1
950,1,7,19474,42.0,0
951,0,1,15810,32.0,1
952,1,1,12413,47.0,0
953,0,4,15919,27.0,1
954,0,0,15645,37.0,1
956,1,3,12776,57.0,0
957,0,9,16115,52.0,1
958,0,0,15674,42.0,1
959,0,1,15645,37.0,1
960,1,2,15305,21.0,0
961,1,1,15513,37.0,0
963,0,0,15810,32.0,1
964,0,2,16166,21.0,1
965,0,4,15838,47.0,1
966,1,9,13914,47.0,0
967,1,4,16335,42.0,0
968,0,0,15645,37.0,1
970,0,0,16115,52.0,1
971,1,1,22479,32.0,0
972,1,2,17627,27.0,0
973,1,2,19744,21.0,0
974,1,1,16134,32.0,0
975,1,1,16336,32.0,0
976,1,3,17977,37.0,0
977,1,9,15826,52.0,0
978,0,0,15919,27.0,1
979,0,0,15810,32.0,1
980,0,0,15674,42.0,1
982,1,3,13132,57.0,0
984,2,7,15174,21.0,0
985,1,1,16971,32.0,0
986,1,2,13627,27.0,0
987,1,1,23167,42.0,0
988,1,2,14537,21.0,0
989,1,2,14903,37.0,0
990,1,2,19997,21.0,0
991,1,6,11111,47.0,0
992,1,2,15839,21.0,0
993,1,1,12410,32.0,0
994,0,0,15645,37.0,1
995,0,0,16115,52.0,1
996,1,2,20724,42.0,0
997,0,0,15919,27.0,1
998,1,1,19713,27.0,0
999,1,1,20830,42.0,0
1000,1,2,19251,47.0,0
1001,1,1,24887,27.0,0
1005,0,1,15838,47.0,1
1006,1,1,18548,74.5,0
1007,1,8,14941,52.0,0
1008,0,0,15810,32.0,1
1009,2,12,17690,27.0,0
1011,1,3,19049,37.0,0
1012,0,0,15838,47.0,1
1013,1,3,12772,27.0,0
1014,1,3,16839,42.0,0
1015,0,0,16115,52.0,1
1016,1,1,21539,32.0,0
1017,2,4,19673,47.0,0
1018,1,2,18017,32.0,0
1019,1,2,18638,21.0,0
1020,1,7,13122,32.0,0
1021,0,1,15645,37.0,1
1022,1,1,12250,42.0,0
1023,0,0,15674,42.0,1
1024,1,12,14896,47.0,0
1025,0,1,15645,37.0,1
1026,1,9,12254,47.0,0
1027,1,4,15114,52.0,0
1028,1,14,15101,32.0,0
1029,0,0,15645,37.0,1
1030,1,4,15060,37.0,0
1031,1,1,15656,57.0,0
1032,1,1,15706,52.0,0
1033,1,1,13147,32.0,0
1034,0,0,15645,37.0,1
1036,1,2,19452,37.0,0
1037,1,1,22880,62.0,0
1038,1,1,21977,52.0,0
1039,0,0,15919,27.0,1
1041,0,6,15645,37.0,1
1042,1,1,16050,52.0,0
1043,0,0,16166,21.0,1
1044,0,0,16115,52.0,1
1045,1,2,14904,32.0,0
1046,1,1,15417,47.0,0
1047,1,1,10969,32.0,0
1048,1,5,21855,32.0,0
1049,1,6,16067,42.0,1
1050,1,2,16397,27.0,0
1051,0,1,15810,32.0,1
1052,1,1,20230,47.0,0
1053,1,8,11692,47.0,0
1054,0,2,15674,42.0,1
1057,0,6,16152,57.0,1
1058,1,1,12819,32.0,0
1059,0,0,15810,32.0,1
1061,0,0,15674,42.0,1
1064,0,0,15838,47.0,1
1065,1,1,20457,47.0,0
1066,1,2,15959,21.0,0
1068,1,8,14117,37.0,0
1069,1,1,13472,21.0,0
1071,0,0,15674,42.0,1
1072,1,1,22816,37.0,0
1073,0,0,15919,27.0,1
1074,0,1,15810,32.0,1
1075,1,4,17064,21.0,0
1076,1,2,23438,74.5,0
1077,2,6,17650,37.0,0
1078,0,1,15810,32.0,1
