runnerId,avgWithoutCurrentYear,category,noOfRacesInCurrentYear
190,0,32.0,1



192,17554,42.0,1
192,0,42.0,2

193,16337,42.0,1

193,17835,42.0,1
194,0,27.0,4







197,14890,37.0,2
197,14890,37.0,2
197,14612,37.0,2





198,0,42.0,2







202,14927,52.0,3


202,16940,52.0,2

202,16546,52.0,3









205,11204,42.0,2

205,11813,42.0,2
205,11813,42.0,2
206,15724,52.0,2
206,15724,52.0,2




207,9850,47.0,3
207,8000,47.0,4


207,8000,47.0,4

207,9850,47.0,3

207,14775,47.0,5


207,14775,47.0,5

208,0,37.0,2


210,0,37.0,1





212,0,42.0,1

214,0,27.0,2


215,15215,52.0,1
215,19869,52.0,1

217,0,32.0,2








221,19661,42.0,1

221,20717,42.0,2
221,21830,42.0,1

222,0,37.0,1


224,0,42.0,1




228,0,27.0,2

229,0,37.0,3








231,0,21.0,6





233,0,42.0,1





236,16161,52.0,2

236,18398,52.0,3



237,0,47.0,2
237,0,47.0,2



240,0,37.0,2







246,0,27.0,3



247,0,37.0,3
247,0,37.0,3






248,0,42.0,2

249,15479,27.0,1
249,0,27.0,1










257,0,42.0,1
258,13623,52.0,1


258,13997,52.0,4

258,13997,52.0,4






259,0,42.0,2



260,19852,21.0,2

260,20654,21.0,1
261,20933,52.0,2
261,20933,52.0,2



265,15458,37.0,1
265,14515,37.0,1
266,15814,62.0,1
266,17219,62.0,1




270,0,47.0,1



270,15450,47.0,2


272,0,32.0,2


274,0,21.0,1


275,13597,62.0,1
275,-1,62.0,1




280,0,52.0,1




282,12596,37.0,2
282,12596,37.0,2
282,12297,37.0,1
282,12596,37.0,1
282,12505,37.0,1

284,0,37.0,1




286,0,57.0,3






290,0,57.0,1

291,0,52.0,1









296,14335,42.0,1
296,14524,42.0,2



299,0,52.0,1















303,0,52.0,2




307,13810,21.0,1
307,13460,21.0,1



310,0,21.0,1






315,13235,27.0,4
















315,13110,27.0,7





316,0,42.0,1

317,0,42.0,3




319,12323,42.0,1
319,12414,42.0,2

319,12251,42.0,2


321,13020,42.0,2

321,13451,42.0,1
321,13117,42.0,1






322,15080,37.0,7





322,0,37.0,5




















327,0,37.0,1

328,0,32.0,2












331,14825,21.0,6


331,15869,21.0,13







331,15869,21.0,13














331,14825,21.0,4



















332,15889,42.0,10










332,15694,42.0,8

332,15694,42.0,8




333,11198,32.0,1
333,11385,32.0,1
334,0,37.0,1

335,0,42.0,1





336,21194,47.0,1
336,19322,47.0,1
337,12270,42.0,1
337,11959,42.0,1




341,0,37.0,1


342,13710,57.0,2

342,13584,57.0,2
342,13584,57.0,2
342,13710,57.0,1

343,11902,27.0,2

343,11893,27.0,1



344,0,32.0,3






345,0,32.0,4



347,0,52.0,4





348,0,21.0,1












349,0,32.0,1


350,13440,37.0,2

350,13208,37.0,1


353,25523,21.0,1

353,27519,21.0,4




355,0,47.0,1





357,0,37.0,2

358,0,57.0,2




359,0,37.0,4









363,0,37.0,2



364,0,37.0,2




367,0,32.0,1







371,0,47.0,1
372,0,37.0,1






375,0,32.0,3







379,17331,57.0,3


379,18300,57.0,4



379,18573,57.0,3
379,18573,57.0,3



381,0,37.0,2




383,0,27.0,3











384,9770,52.0,20








384,9770,52.0,20









384,9724,52.0,17
384,9724,52.0,17








384,9724,52.0,17



384,9770,52.0,17


384,9770,52.0,17







384,9770,52.0,17









384,9770,52.0,23






384,9770,52.0,23




384,9770,52.0,23











387,9598,47.0,3


387,14398,47.0,8



387,14398,47.0,8
387,14398,47.0,8






387,6738,47.0,5











393,0,42.0,1

394,0,67.0,2













398,13618,21.0,1
398,13237,21.0,1

399,0,32.0,1


401,0,32.0,1




403,0,37.0,1

404,0,42.0,1

405,0,21.0,1






409,0,27.0,1


410,13340,27.0,3


410,13340,27.0,6





410,13343,27.0,3


411,0,42.0,2

412,15984,47.0,1

412,15567,47.0,1

414,0,47.0,1




415,12032,52.0,1
415,0,52.0,1


416,0,47.0,2





419,12867,32.0,2
419,12759,32.0,3


419,12867,32.0,3






420,16851,42.0,2
420,16851,42.0,2
420,18896,42.0,1

421,17238,52.0,5

421,17238,52.0,5
421,17238,52.0,5


421,17456,52.0,9



421,17456,52.0,9




423,14290,57.0,1
423,0,57.0,1
424,0,27.0,2






425,0,62.0,1






426,0,32.0,1





428,0,47.0,3




432,13766,37.0,2

432,16130,37.0,4







434,0,27.0,3



437,0,42.0,1


438,0,37.0,3


439,0,16.0,2





442,12428,52.0,3



442,12428,52.0,4




442,12428,52.0,5


442,12339,52.0,3
442,12339,52.0,3













443,0,32.0,4





445,0,32.0,1



449,0,32.0,1


451,13258,21.0,2

451,13579,21.0,1




455,0,42.0,2

456,0,32.0,1












461,0,47.0,2




463,17870,47.0,3

463,17870,47.0,3






463,18368,47.0,2






468,15695,47.0,1
468,14256,47.0,1
469,0,27.0,2






474,0,57.0,1
475,0,57.0,1







476,14292,57.0,4


476,14485,57.0,6
476,14485,57.0,6






476,14346,57.0,12



476,14346,57.0,12




477,0,47.0,2

478,18267,37.0,1
478,16838,37.0,2



481,0,57.0,3



481,16333,57.0,4





482,12483,37.0,3


482,0,37.0,5











483,0,32.0,8



















486,11204,32.0,9
486,11204,32.0,9




486,11204,32.0,9






486,11204,32.0,5
486,10921,32.0,8


486,10921,32.0,8











487,0,52.0,1

489,16809,42.0,2

489,15932,42.0,2

490,0,32.0,1



492,0,37.0,1



494,17660,47.0,2
494,17660,47.0,2
495,16386,37.0,1
495,0,37.0,2



497,12634,42.0,2

497,12257,42.0,1



500,14525,37.0,1
500,14844,37.0,1



503,0,32.0,1






507,0,32.0,4














510,0,27.0,1

512,0,42.0,2




514,0,37.0,1








515,16154,52.0,4
515,16154,52.0,4




517,11639,42.0,1
517,0,42.0,1
518,0,52.0,2





521,0,27.0,2


523,16401,37.0,1
523,15218,37.0,1





528,0,37.0,1

529,0,37.0,1

530,0,21.0,2



531,0,47.0,2
531,0,47.0,2





533,0,62.0,1


536,0,32.0,1





539,0,37.0,2

540,0,32.0,2




543,0,37.0,1









548,12708,27.0,2

548,13040,27.0,1
548,13283,27.0,1


549,16465,52.0,3




549,16465,52.0,6



549,0,52.0,8



549,0,52.0,8







551,12892,37.0,6





551,12892,37.0,6







551,12741,37.0,5
551,12741,37.0,5




554,0,42.0,2


555,0,42.0,2





557,14222,37.0,4
557,14222,37.0,4










564,12536,27.0,4



564,12298,27.0,2










573,0,47.0,1
573,17942,47.0,3


574,0,32.0,2



577,14884,52.0,1

577,14860,52.0,6




577,15292,52.0,6
577,15292,52.0,6




577,15311,52.0,3
577,15311,52.0,3





580,0,57.0,3



581,0,37.0,1


583,0,42.0,1









586,0,27.0,1

588,17689,32.0,2

588,23588,32.0,1


589,0,37.0,3
589,0,37.0,3



590,0,21.0,1



591,0,21.0,1



592,15549,47.0,1
592,14370,47.0,1
592,15549,47.0,1


593,0,27.0,1





594,0,47.0,1










601,0,32.0,1




603,0,37.0,1
604,0,27.0,2


606,15642,37.0,1
606,15642,37.0,1
606,0,37.0,1





609,0,37.0,2





610,14801,37.0,5





610,15000,37.0,4

610,15000,37.0,4







613,17161,37.0,10





613,17801,37.0,3


613,16522,37.0,2



615,16086,42.0,1
615,16086,42.0,1
615,0,42.0,1


618,0,47.0,2










624,0,37.0,1



628,0,32.0,2
628,0,32.0,2





629,0,27.0,4



630,0,42.0,3



632,0,42.0,2




634,13920,37.0,1
634,13981,37.0,1
635,18419,52.0,1
635,17874,52.0,2

635,20486,52.0,2



638,14823,47.0,1
638,13489,47.0,2

638,14203,47.0,3
638,14203,47.0,3






642,0,32.0,4









645,0,32.0,3









649,17057,37.0,3

649,17057,37.0,3


649,0,37.0,4







650,15166,27.0,1
650,0,27.0,2










653,12430,37.0,5

653,12430,37.0,5

654,0,37.0,6


654,0,37.0,6










656,0,42.0,1

657,12288,32.0,1
657,12827,32.0,1




659,0,27.0,2

661,0,52.0,2







664,15734,37.0,1
664,18740,37.0,1
665,0,42.0,2

















669,0,42.0,1
670,0,57.0,2

671,14320,32.0,1
671,14760,32.0,3



673,13220,47.0,1
673,13669,47.0,2
673,13669,47.0,2
673,12866,47.0,2



674,0,42.0,1





676,0,37.0,3


677,0,42.0,1









681,0,47.0,1










684,0,37.0,2




687,0,27.0,4









690,0,52.0,1


691,0,27.0,2

692,0,21.0,2

















699,10491,27.0,4







699,10577,27.0,6







701,0,32.0,2
702,0,32.0,2



704,0,37.0,1

705,13392,27.0,1
705,13360,27.0,2





708,14733,42.0,2
708,15191,42.0,5
708,15191,42.0,5



709,0,37.0,2





711,0,27.0,1

712,17752,37.0,1
712,18356,37.0,1








719,0,47.0,1








721,14097,57.0,6











721,16221,57.0,4



722,0,32.0,1






724,16207,47.0,3


724,20121,47.0,2










733,0,21.0,1

734,14921,37.0,2
734,14921,37.0,2
734,15697,37.0,2




736,12370,42.0,2

736,12289,42.0,1


737,0,32.0,1


738,0,37.0,2



740,13767,42.0,1
740,14999,42.0,2

740,14849,42.0,2





744,0,27.0,1

745,0,42.0,1










748,0,37.0,1








751,14325,42.0,7



751,14158,42.0,3









751,14325,42.0,4


752,0,27.0,1






754,0,42.0,1










758,0,47.0,1
758,17458,47.0,1




761,0,37.0,1

763,14814,27.0,2

763,17300,27.0,1


765,0,42.0,1

766,0,32.0,1
767,0,27.0,2














770,0,47.0,4




771,0,32.0,1


773,0,37.0,4




775,13620,27.0,3


775,15613,27.0,3



776,13140,37.0,2
776,14923,37.0,1
776,11358,37.0,1
777,14791,52.0,2
777,14791,52.0,2



779,13708,21.0,1
780,18316,47.0,1
780,20057,47.0,1








783,0,32.0,4











786,0,32.0,1




787,0,37.0,2
787,0,37.0,2


788,0,27.0,1




790,0,57.0,1





792,12222,27.0,1

792,14418,27.0,3


794,0,32.0,4
794,0,32.0,4





795,14375,37.0,1


795,14810,37.0,5










797,9857,37.0,4




797,9929,37.0,3


797,9732,37.0,4





798,0,32.0,2


799,16052,42.0,2

799,14340,42.0,2


800,0,37.0,1


801,0,27.0,3





803,0,52.0,3




804,0,21.0,3
804,0,21.0,3

805,13894,37.0,3


805,12751,37.0,2






806,21220,32.0,2
806,22523,32.0,1
807,0,37.0,1







811,0,37.0,1


814,0,27.0,2




815,13789,42.0,3

815,0,42.0,1



818,0,27.0,1


820,15195,42.0,4
820,15195,42.0,4
820,15195,42.0,4



821,0,42.0,1



822,11795,47.0,7


822,11795,47.0,7



822,13462,47.0,1


824,16471,62.0,2
824,16471,62.0,2
824,16199,62.0,1
825,0,32.0,1









832,0,37.0,1

834,0,57.0,1







840,0,21.0,2





841,0,52.0,1



844,16193,27.0,1
844,18083,27.0,1

846,0,67.0,1
846,21711,67.0,1





852,15834,52.0,2

852,15944,52.0,1

854,0,32.0,2
854,0,32.0,2

855,12478,27.0,2
855,12478,27.0,2

857,0,37.0,1





858,0,42.0,1




861,0,62.0,3


862,0,32.0,7








864,15947,57.0,1
864,0,57.0,1

865,0,37.0,1







870,0,32.0,4





873,0,47.0,1

873,13028,47.0,1




874,11229,47.0,5


874,11201,47.0,3


874,11229,47.0,3

874,11229,47.0,3
874,11229,47.0,2


875,0,32.0,1


878,20689,37.0,1
878,0,37.0,2
878,0,37.0,2
878,20689,37.0,1







882,16481,37.0,2

882,16582,37.0,1
883,0,37.0,2






885,0,37.0,1







886,0,27.0,1






891,0,42.0,1

892,0,37.0,1

894,0,52.0,2




896,0,37.0,1











898,0,42.0,5





899,0,27.0,2


900,0,42.0,2




903,13493,32.0,1

903,0,32.0,1

904,0,47.0,1





908,0,52.0,1










915,0,47.0,1

917,0,37.0,2




918,13223,47.0,2

918,13223,47.0,2
918,13228,47.0,2


918,13223,47.0,2
919,0,42.0,2





920,0,32.0,2









924,0,52.0,1



926,0,52.0,5













927,0,27.0,5








928,11678,42.0,5
928,11678,42.0,5
928,11678,42.0,5



928,11182,42.0,2




931,0,57.0,1
932,13472,21.0,1
932,12305,21.0,1













933,13251,42.0,7
933,0,42.0,6












936,15330,42.0,3
936,15330,42.0,3

936,15397,42.0,3
936,15397,42.0,3




940,0,47.0,1



941,12748,42.0,4



941,13605,42.0,1
941,14463,42.0,1

942,0,21.0,1







948,0,52.0,1


950,18065,42.0,2

950,16657,42.0,2



951,0,32.0,2


953,0,27.0,1








956,0,57.0,2

957,0,52.0,1











959,0,37.0,1

960,0,21.0,1



964,0,21.0,1


965,0,47.0,1





966,13914,47.0,1
966,13914,47.0,2
966,13914,47.0,2

966,13914,47.0,2
966,13690,47.0,3

966,13690,47.0,3

967,0,42.0,2






972,15868,27.0,2
972,15868,27.0,2
973,0,21.0,1



976,0,37.0,3







977,16260,52.0,4
977,16260,52.0,4







982,0,57.0,2



984,16089,21.0,5




984,14259,21.0,2



986,0,27.0,1

988,0,21.0,1

989,0,37.0,2


990,0,21.0,1

991,11060,47.0,5
991,11060,47.0,5
991,11060,47.0,5


992,0,21.0,1




996,0,42.0,2




1000,0,47.0,2







































































1005,0,47.0,2




1007,14273,52.0,3
1007,14273,52.0,3

1007,14941,52.0,2



1009,17690,27.0,1
1009,19696,27.0,6

1009,19696,27.0,6



1009,15684,27.0,5





1011,0,37.0,1




1013,0,27.0,2



1014,0,42.0,1



1017,18869,47.0,1

1017,20478,47.0,1

1018,0,32.0,1
1019,0,21.0,2


1020,13122,32.0,2
1020,0,32.0,3




1021,0,37.0,1
1021,17870,37.0,1







1024,13505,47.0,6
1024,13505,47.0,6






1025,0,37.0,1


1026,0,47.0,7



1026,0,47.0,7


1027,14350,52.0,1
1027,15114,52.0,2

1027,15114,52.0,1













1028,0,32.0,1

1030,15060,37.0,1
1030,14171,37.0,2
1030,14171,37.0,2
1030,15060,37.0,1







1036,0,37.0,2





1041,0,37.0,1










1045,0,32.0,1


1048,0,32.0,1


1048,21855,32.0,3



1049,16067,42.0,2

1049,14827,42.0,1


1050,0,27.0,2


1051,0,32.0,1


1053,11692,47.0,1
1053,11692,47.0,3


1053,11898,47.0,3



1054,0,42.0,2









1057,0,57.0,1










1066,0,21.0,1









1068,0,37.0,1





1074,0,32.0,2




1075,0,21.0,1

1076,0,74.5,1



1077,17491,37.0,2

1077,17810,37.0,1
1078,0,32.0,1



1079,0,37.0,2
















1080,14532,27.0,6

1080,18022,27.0,8

1080,18022,27.0,8





1081,0,32.0,2

1082,0,42.0,1





1086,0,57.0,1




1087,14465,32.0,3

1087,14465,32.0,3





1091,0,27.0,1





1096,0,52.0,1




1099,18933,57.0,3


1099,17632,57.0,2


1101,15315,27.0,6





1101,13609,27.0,2
1101,13609,27.0,2

1102,0,42.0,5







1106,14663,57.0,1
1106,14110,57.0,4
1106,14110,57.0,4
1106,14110,57.0,4

1106,14663,57.0,3



1108,0,42.0,2




1112,11788,42.0,1
1112,13135,42.0,2
1112,13135,42.0,2
1112,12394,42.0,3


1113,0,42.0,2







1116,10689,32.0,2

1116,0,32.0,2


1118,0,32.0,1


1120,0,74.5,2









1121,21479,37.0,2

1121,21670,37.0,1

1121,22763,37.0,3




1125,14859,47.0,3




1125,17014,47.0,4





1128,0,27.0,2


1129,0,47.0,1



1130,16108,27.0,4
1130,16108,27.0,4
1130,16108,27.0,4

1131,15908,52.0,1


1131,15509,52.0,5
1131,15509,52.0,5



1131,14098,52.0,1

1132,12805,52.0,5



1132,13893,52.0,1
1132,13377,52.0,1
1133,14339,21.0,1
1133,13767,21.0,1
1134,16260,52.0,1
1134,15466,52.0,2

1134,16092,52.0,3

1134,16092,52.0,3


1135,0,27.0,2

1136,17051,52.0,1
1136,16152,52.0,1



1139,0,32.0,2




1142,0,52.0,2



1144,0,32.0,2




1145,0,47.0,2







1147,0,21.0,2


1148,-1,27.0,1
1148,25658,27.0,1




1152,0,32.0,2




1155,0,42.0,1


1155,16919,42.0,3





1157,0,42.0,2








1159,15015,47.0,4


1159,0,47.0,6
















1161,0,42.0,5









1162,14561,47.0,6



1162,14561,47.0,6

1162,15007,47.0,4

1162,15007,47.0,4






1165,0,32.0,4










1167,0,32.0,11


















1169,12334,42.0,2

1169,13738,42.0,5



1169,13738,42.0,5


















1179,0,32.0,3






1184,0,21.0,1




1186,15992,42.0,1

1186,17105,42.0,2
1186,17105,42.0,2


1189,0,42.0,1




1190,0,27.0,2











1194,19562,21.0,1
1194,0,21.0,2








1199,20215,42.0,2

1199,0,42.0,1
1200,0,42.0,1




1202,0,47.0,4



1203,0,42.0,1

1203,-1,42.0,2

1204,0,37.0,2






1208,0,37.0,1







1213,0,37.0,1





1214,15328,42.0,4


1215,12865,21.0,5



1215,12865,21.0,5


1216,0,62.0,5






1218,0,37.0,5








1219,0,32.0,1

1221,12417,21.0,2
1221,12417,21.0,2
1221,16577,21.0,1

1222,0,42.0,1








1224,12232,32.0,8












1224,12636,32.0,5





1224,11828,32.0,5




1226,0,27.0,3


1227,0,27.0,2


1229,0,21.0,1


1231,0,47.0,2




1233,0,32.0,2



1235,0,52.0,1


1236,0,32.0,1
1237,0,52.0,2




1239,12674,37.0,1
1239,12287,37.0,2


1239,12408,37.0,4








1243,17066,32.0,2
1243,17066,32.0,2
1244,0,42.0,2


1246,0,21.0,1







1247,13787,57.0,6



1247,13787,57.0,6
1247,14491,57.0,4



1247,14491,57.0,1








1248,0,42.0,4











1253,0,47.0,5











1258,18073,37.0,1
1258,19413,37.0,1


1259,13370,47.0,2


1259,13284,47.0,4
1259,13284,47.0,4

1259,12828,47.0,4





1260,0,42.0,4



1261,0,21.0,2





1265,0,27.0,1


1266,0,42.0,2




1269,0,42.0,2

1270,22156,37.0,2

1270,0,37.0,2




1274,17322,47.0,1
1274,16744,47.0,1
1275,17945,27.0,1
1275,18343,27.0,1



1277,0,27.0,1

1279,14193,21.0,1
1279,14688,21.0,1



1282,0,42.0,1

1284,0,37.0,1



1285,0,27.0,2




1287,0,37.0,3



1289,15037,32.0,1
1289,13821,32.0,1
1290,0,52.0,2


1291,0,52.0,1

1292,0,32.0,3





1293,0,27.0,1


1295,0,37.0,1

1296,15878,62.0,4

1296,15878,62.0,4

1296,7938,62.0,3


1296,7938,62.0,1




1301,0,37.0,1





1304,0,57.0,1


1305,18424,57.0,1

1305,18424,57.0,2
1305,0,57.0,1

1306,0,37.0,2

1307,0,21.0,3



1309,15186,47.0,1
1309,15139,47.0,6
1309,15139,47.0,6
1309,15139,47.0,6

1309,15139,47.0,6

1309,15295,47.0,6
1309,15295,47.0,6

1309,15295,47.0,6


1309,15295,47.0,4
1309,15295,47.0,4






1313,0,57.0,5







1314,11427,42.0,3

1314,11427,42.0,5





1314,11161,42.0,2

1315,0,42.0,3





1318,16798,27.0,2

1318,15711,27.0,1

1319,15115,42.0,2

1319,15974,42.0,1










1321,14095,27.0,5
1321,0,27.0,2




1322,0,32.0,2

1323,13262,47.0,2

1323,0,47.0,3



1324,0,52.0,2



1325,11676,21.0,2




1326,0,21.0,2


1327,0,32.0,1





1332,0,21.0,2




1334,10698,42.0,6
1334,10698,42.0,6



1334,10445,42.0,7


















1339,0,37.0,1










1348,0,16.0,1


1350,0,42.0,1

1350,14713,42.0,1

















