114,04-22,CourseSaint-Laurent,5KM,00:24:57,M40-49
114,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:26:09,M40-49

121,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:56:50,M25-29
121,05-26,OttawaRaceWeekend,10KM,00:57:56,M25-29

122,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,-1,M20-29

128,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:47:38,F18-24
128,06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON,02:06:34,F16-19

129,04-22,CourseSaint-Laurent,10KM,00:51:45,M40-49

130,09-23,Marathon Oasis de Montreal,Marathon,03:27:17,M30-34

132,08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM,01:07:16,F50-59
132,06-17,ManitobaMarathon,MARATHON,-1,F50-54
132,06-03,BeatBeethoven8KmRun,8KM,00:45:36,F50-59
132,04-28,"RuntoendMSHalf-Marathon,5kmand10km",5KM,00:30:47,F50-59
132,04-22,SmithFallsSpringFlingRunningThing,HALFMARATHON,02:08:37,F50-59

137,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:45:46,M30-34
137,05-27,OttawaRaceWeekend,HALFMARATHON,02:03:00,M30-34

140,09-23,MarathonOasisdeMontreal,MARATHON,04:07:59,F35-39
140,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:58:16,F30-39

141,09-23,MarathonOasisdeMontreal,MARATHON,04:18:31,M45-49
141,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:22:00,M40-49

145,06-17,TourduLacBrome,20KMROUTE,02:00:14,M30-39
145,04-29,BanqueScotia21kmet5km,"21,1KM",01:42:05,M30-34
145,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:44:45,M30-39

149,09-23,Marathon Oasis de Montreal,Marathon,02:59:03,M40-44

157,10-14,ClassiqueDuParcLaFontaine,10KM,00:40:02,M40-49
157,09-23,MarathonOasisdeMontreal,MARATHON,03:19:54,M45-49
157,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",01:46:42,M40-49
157,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:38:29,M40-49

160,09-23,Marathon Oasis de Montreal,Marathon,02:18:43,M30-34

162,09-23,MarathonOasisdeMontreal,MARATHON,04:31:30,F30-34
162,05-12,CoursedelaFondationhopitalSaintJerome,"21,1KM",02:25:33,F30-39

168,09-23,MarathonOasisdeMontreal,MARATHON,04:32:31,M40-44
168,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:57:51,M40-49

170,09-23,MarathonOasisdeMontreal,MARATHON,03:57:49,M25-29
170,06-17,TourduLacBrome,20KMROUTE,01:44:17,M30-39
170,05-26,DefiMemphre,10KM,00:47:49,M20-29
170,04-29,CoursePrintaniereOka,10KM,00:46:12,M30-39

171,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:07:02,M50-54

172,10-14,ClassiqueDuParcLaFontaine,10KM,00:40:31,M30-39
172,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:25:29,M35-39
172,09-08,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE,02:31:14,M35-39
172,08-26,TriathlondeValleyfield,TRIATHLONOLYMPIQUE,02:35:38,M35-39
172,08-12,TriathlondeVerdun,TRIATHLONSPRINT,01:25:27,M35-39
172,07-14,TriathlonSt-Lambert,TRIATHLONSPRINT,01:15:55,M35-39
172,06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONSPRINT,01:30:38,M30-39
172,04-29,BanqueScotia21kmet5km,"21,1KM",01:38:20,M30-34
172,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:46:02,M30-39

181,10-07,DemimarathondescouleursdeBecancour,5KM,00:25:41,M40-49

185,09-23,MarathonOasisdeMontreal,MARATHON,04:10:44,F40-44

186,05-27,OttawaRaceWeekend,MARATHON,03:44:24,M35-39

187,11-04,OkaRoadRace,10KCOURSE,00:56:03,M40-49
187,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,02:11:02,M40-49
187,04-29,CoursePrintaniereOka,"21,1KM",02:07:20,M40-49

189,09-23,MarathonOasisdeMontreal,MARATHON,04:11:48,M55-59

194,09-23,MarathonOasisdeMontreal,MARATHON,03:53:03,M25-29
194,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,05:42:32,M25-29
194,06-16,TriathlonLacBeauport,TRIATHLON,01:50:59,M25-29
194,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:33:23,M20-29

197,09-23,MarathonOasisdeMontreal,MARATHON,04:08:10,M35-39
197,05-27,OttawaRaceWeekend,HALFMARATHON,01:51:42,M35-39

198,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:00:50,F35-39

202,09-23,MarathonOasisdeMontreal,MARATHON,04:15:21,M50-54
202,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:54:33,M50-59
202,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:51:20,M50-59

207,09-23,MarathonOasisdeMontreal,MARATHON,-1,M40-44
207,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:00:19,M40-49
207,06-17,DescenteRoyale,10KM,00:52:01,M40-49
207,05-27,OttawaRaceWeekend,MARATHON,04:26:41,M40-44
207,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:49:30,M40-49

210,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:54:44,F30-39

212,09-23,MarathonOasisdeMontreal,MARATHON,04:00:36,M40-44

214,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:55:14,F18-24

215,09-23,MarathonOasisdeMontreal,MARATHON,04:13:35,F45-49

217,09-23,MarathonOasisdeMontreal,10KM,01:00:25,M30-34

222,09-23,MarathonOasisdeMontreal,MARATHON,04:42:39,M35-39

225,09-23,Marathon Oasis de Montreal,Marathon,04:37:47,F45-49

229,05-12,CoursedelaFondationhopitalSaintJerome,10KM,00:56:49,M30-39

231,10-07,LaPetiteDerniere,5.5KM,00:21:05,M18-
231,09-23,MarathonOasisdeMontreal,MARATHON,03:47:00,M18-24
231,06-17,TourduLacBrome,20KMROUTE,01:44:14,M-JUN
231,06-10,LaGrandeVireedesSentiersSt-Bruno,10KM,00:53:12,M-JUN
231,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:44:41,M16-19
231,02-19,DéfiHivernalIleBizard,5KM,00:19:44,M16-17

233,03-25,AroundtheBayRoadRaces,30KM,02:50:16,M35-39

242,09-23,Marathon Oasis de Montreal,Marathon,04:36:51,M50-54

243,09-23,Marathon Oasis de Montreal,Marathon,03:35:13,M50-54

247,06-17,TourduLacBrome,20KMROUTE,01:52:52,M30-39
247,04-29,BanqueScotia21kmet5km,"21,1KM",01:41:49,M35-39

249,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:54:13,F25-29
249,09-08,TriathlonEspritdeMontreal,TRIATHLONSPRINT,01:22:57,F25-29

257,09-23,MarathonOasisdeMontreal,MARATHON,04:33:58,F40-44

258,06-17,TourduLacBrome,20KMROUTE,01:30:39,M40-49
258,04-29,BanqueScotia21kmet5km,"21,1KM",01:36:18,M45-49

259,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:48:44,M40-44
259,05-27,OttawaRaceWeekend,HALFMARATHON,01:52:18,M35-39

275,09-23,MarathonOasisdeMontreal,MARATHON,03:46:37,M60-64

280,10-06,Dr.KimArmtrongTurkeyTrot,5KM,00:28:25,M40-59

282,09-23,MarathonOasisdeMontreal,MARATHON,03:32:58,M35-39

286,05-27,OttawaRaceWeekend,HALFMARATHON,01:45:30,M55-59

290,04-01,IronmanLonestar70.3,OVERALL,06:38:38,M55-59

293,09-23,Marathon Oasis de Montreal,Marathon,04:34:31,M18-24

296,09-23,MarathonOasisdeMontreal,MARATHON,03:58:55,M40-44
296,05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:47:06,M40-49

299,10-07,DemimarathondescouleursdeBecancour,10KM,01:03:48,F50-59

302,08-11,TriathlonPromutuelduFjord,TRIATHLONSPRINT,01:33:51,M25-29

305,09-23,Marathon Oasis de Montreal,Marathon,04:08:07,M18-24

307,09-23,MarathonOasisdeMontreal,MARATHON,03:50:10,M18-24

310,09-23,MarathonOasisdeMontreal,MARATHON,04:45:10,F18-24

312,09-23,Marathon Oasis de Montreal,Marathon,04:16:53,F25-29

315,10-21,NiagaraFallsInternationalMarathon,HALFMARATHON,01:58:25,M25-29
315,09-23,MarathonOasisdeMontreal,MARATHON,03:42:41,M25-29
315,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:37:25,M20-29
315,07-14,TriathlonSt-Lambert,TRIATHLONSPRINT,01:19:31,M25-29
315,05-06,CourseduFortdeChambly,5KM,00:21:04,M20-29
315,04-29,BanqueScotia21kmet5km,"21,1KM",01:40:06,M25-29
315,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:44:57,M20-29

316,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:06:58,M35-39

317,04-29,BanqueScotia21kmet5km,"21,1KM",02:14:07,F35-39

319,09-23,MarathonOasisdeMontreal,MARATHON,03:28:06,M40-44
319,06-17,TourduLacBrome,20KMROUTE,01:39:44,M40-49

321,09-23,MarathonOasisdeMontreal,MARATHON,03:42:34,M40-44

322,11-04,OkaRoadRace,10KCOURSE,00:59:13,M30-39

323,05-27,OttawaRaceWeekend,MARATHON,03:17:10,M30-34
323,04-29,BanqueScotia21kmet5km,"21,1KM",01:34:58,M30-34

331,10-14,ClassiqueDuParcLaFontaine,5KM,00:21:24,M20-29
331,09-08,TriathlonEspritdeMontreal,DUATHLONOLYMPIQUE,02:31:38,M20-24
331,08-05,TriathlonTerrebonne,DUATHLON,01:19:10,M20-29
331,05-27,OttawaRaceWeekend,MARATHON,04:24:29,M20-24

332,10-14,ClassiqueDuParcLaFontaine,10KM,00:56:31,F40-49
332,09-23,MarathonOasisdeMontreal,MARATHON,04:28:04,F40-44
332,06-17,TourduLacBrome,20KMROUTE,02:01:32,F40-49
332,06-17,TourduLacBrome,CHALLENGEMARATHON,04:21:34,F40-49
332,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:20:03,F40-49
332,05-27,OttawaRaceWeekend,HALFMARATHON,02:09:17,F40-44
332,04-29,BanqueScotia21kmet5km,"21,1KM",02:08:18,F40-44
332,02-18,DemiMarathonHypothermique,DEMIMARATHON,02:11:16,F40-49

334,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:40:23,M35-39

335,09-23,MarathonOasisdeMontreal,10KM,00:49:58,M35-39
335,06-02,Coursedesiles,5KM,00:25:50,M30-39

336,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,05:53:14,M45-49

337,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:34:07,M40-44

341,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:44:46,F35-39

343,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,03:18:22,M25-29

344,09-23,MarathonOasisdeMontreal,MARATHON,04:30:19,M30-34
344,06-17,TourduLacBrome,10KMROUTE,00:53:44,M30-39
344,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON,02:01:04,M30-34

345,10-14,ClassiqueDuParcLaFontaine,10KM,00:54:28,F20-29
345,09-23,MarathonOasisdeMontreal,MARATHON,04:07:16,F25-29
345,05-27,OttawaRaceWeekend,HALFMARATHON,01:54:00,F25-29
345,04-29,BanqueScotia21kmet5km,"21,1KM",01:54:48,F25-29

349,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:50:24,M30-34
349,04-29,BanqueScotia21kmet5km,"21,1KM",01:53:44,M30-34

350,09-23,MarathonOasisdeMontreal,MARATHON,03:44:00,M35-39

357,09-23,MarathonOasisdeMontreal,MARATHON,03:48:58,M35-39
357,04-29,BanqueScotia21kmet5km,"21,1KM",01:55:43,M35-39

358,09-23,MarathonOasisdeMontreal,MARATHON,03:41:10,M55-59
358,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:46:43,M50-59

359,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:51:55,M35-39

363,09-23,MarathonOasisdeMontreal,MARATHON,04:28:40,F35-39
363,06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON,02:02:58,F35-39

364,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:50:23,F35-39

367,04-29,BanqueScotia21kmet5km,"21,1KM",01:44:07,M30-34

368,09-23,Marathon Oasis de Montreal,Marathon,04:42:42,M40-44

372,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,02:10:11,F35-39

375,08-12,GranfondoGarneau-Cascades,110KM,03:00:21,M30-
375,05-20,GrandPrixCyclistedeGatineau,MEDIOFONDO,01:46:51,M20-29

384,10-20,Cross-CountrySaint-LaurentSelect,5KM,00:17:41,M40-49
384,10-14,ClassiqueDuParcLaFontaine,5KM,00:16:34,M40-49
384,09-16,LaGrandeVadrouille,10KM,00:35:55,M40-49
384,09-16,LaGrandeVadrouille,5KM,00:17:21,M40-49
384,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,02:44:39,M40-49
384,08-19,CoupeDix302012,5KM,00:16:21,M40-49
384,08-15,Le5kmEndurance,5KM,00:16:39,M40-49
384,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:18:39,M40-49
384,07-14,Demi-MarathonMarcelJobin,21KM,01:18:57,M40-49
384,06-24,CoupeDix302012,5KM,00:17:10,M40-49
384,06-23,LeDefiBeauceron,5KM,00:17:11,M40-49
384,06-17,TourduLacBrome,CHALLENGEMARATHON,02:45:50,M40-49
384,06-17,TourduLacBrome,20KMROUTE,01:17:39,M40-49
384,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",01:28:11,M40-49
384,06-10,DemimarathondespompiersdeShawinigan,21KM,01:19:16,M40-49
384,06-03,DéfiTri-O-Lacs,10KM,00:35:54,M40-49
384,05-27,OttawaRaceWeekend,MARATHON,02:36:53,M45-49
384,05-20,CoupeDix302012,5KM,00:16:46,M40-49
384,05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:14:10,M40-49
384,05-06,DéficourseetmarcheDesjardinsSainteThérèse,5KM,00:17:05,M40-49
384,04-29,BanqueScotia21kmet5km,"21,1KM",01:15:21,M45-49
384,02-19,DéfiHivernalIleBizard,5KM,00:17:25,M40-49
384,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:19:26,M40-49

387,09-23,MarathonOasisdeMontreal,MARATHON,04:15:20,M45-49
387,09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT,05:26:23,M45-49
387,08-05,TriathlonSte-Agathe,TRIATHLON,01:59:23,M45-49
387,07-22,TriathlonTrimemphredeMagog,TRIATHLONOLYMPIQUE,02:59:17,M45-49
387,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,06:06:02,M45-49

394,10-27,OttawaBeatBeethoven,8KM,00:33:15,M60-64
394,10-07,DemimarathondescouleursdeBecancour,5KM,00:20:33,M60-69
394,09-16,LaGrandeVadrouille,10KM,00:42:10,M60-69
394,07-14,Demi-MarathonMarcelJobin,5KM,00:20:36,M60-69
394,06-10,DemimarathondespompiersdeShawinigan,5KM,00:20:40,M19-

404,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:37:47,M40-44

405,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:00:16,M18-24
405,05-26,OttawaRaceWeekend,5KM,00:30:41,M20-24

407,09-23,Marathon Oasis de Montreal,Marathon,04:02:45,M35-39

408,09-23,Marathon Oasis de Montreal,Marathon,04:33:22,M40-44

415,09-23,MarathonOasisdeMontreal,MARATHON,03:20:32,M45-49

418,09-23,Marathon Oasis de Montreal,Marathon,03:48:22,M30-34

419,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:43:37,M25-29
419,06-17,TourduLacBrome,10KMROUTE,00:50:00,M20-29
419,05-27,OttawaRaceWeekend,HALFMARATHON,01:47:37,M25-29

420,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:52:45,M40-44

421,11-04,OkaRoadRace,DEMI-MARATHON,02:11:13,M50-59
421,09-23,MarathonOasisdeMontreal,MARATHON,04:57:23,M45-49
421,09-09,Demi-MarathonGranby,DEMIMARATHON,02:10:31,M50-59
421,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,02:21:06,M40-49
421,06-17,TourduLacBrome,20KMROUTE,02:06:05,M50-59
421,06-17,TourduLacBrome,CHALLENGEMARATHON,04:40:13,M50-59
421,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:34:08,M50-59
421,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,02:01:19,M40-49
421,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,02:08:20,M50-59

423,09-23,MarathonOasisdeMontreal,MARATHON,03:58:10,M55-59

424,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:01:52,F25-29
424,05-12,LeChallengeIRCM-Courirpourlavie,5KM,00:24:30,F20-29

425,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:49:44,M55-59

428,10-07,LeCrossDesCouleurs,11KM,00:58:25,M40-49
428,09-23,MarathonOasisdeMontreal,MARATHON,03:53:16,M45-49
428,09-16,LaGrandeVadrouille,10KM,00:47:47,M40-49

431,09-23,Marathon Oasis de Montreal,Marathon,04:14:52,F25-29

432,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:53:47,F30-34
432,06-10,LaGrandeVireedesSentiersSt-Bruno,10KM,00:58:54,F30-39

437,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:36:38,M40-44
437,05-26,OttawaRaceWeekend,10KM,00:44:23,M40-44

438,09-23,MarathonOasisdeMontreal,MARATHON,03:54:50,F35-39
438,04-29,BanqueScotia21kmet5km,"21,1KM",01:49:25,F35-39
438,02-18,DemiMarathonHypothermique,DEMIMARATHON,02:04:59,F30-39

442,09-23,MarathonOasisdeMontreal,MARATHON,03:28:38,M50-54
442,05-27,OttawaRaceWeekend,MARATHON,03:25:39,M50-54
442,03-25,AroundtheBayRoadRaces,30KM,02:22:34,M50-54

443,09-23,MarathonOasisdeMontreal,MARATHON,03:26:44,M30-34
443,07-14,Demi-MarathonMarcelJobin,21KM,01:31:44,M30-39
443,06-10,DemimarathondespompiersdeShawinigan,21KM,01:29:32,M30-39
443,05-26,DemiMarathonGenerations,DEMIMARATHON,01:28:49,M30-39

447,09-23,Marathon Oasis de Montreal,Marathon,04:43:57,U0-0

449,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:43:43,M25-29

461,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,01:55:32,M40-49
461,05-06,DéficourseetmarcheDesjardinsSainteThérèse,5KM,00:24:13,M40-49

462,09-23,Marathon Oasis de Montreal,Marathon,04:19:51,F40-44

463,08-12,GranfondoGarneau-Cascades,110KM,04:02:22,F41-50
463,05-27,OttawaRaceWeekend,MARATHON,04:57:50,F40-44

468,09-23,MarathonOasisdeMontreal,MARATHON,04:21:35,M45-49

474,09-23,MarathonOasisdeMontreal,MARATHON,04:27:28,M55-59

475,09-30,MarathondeRimouski,"21,1KM",01:55:25,M50-59
475,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:59:35,M50-59

476,10-20,Cross-CountrySaint-LaurentSelect,5KM,00:24:08,M50-59
476,10-14,ClassiqueDuParcLaFontaine,10KM,00:48:24,M50-59
476,10-07,LeCrossDesCouleurs,11KM,01:00:28,M50-59
476,09-23,MarathonOasisdeMontreal,MARATHON,03:56:23,M55-59
476,08-15,Le5kmEndurance,5KM,00:23:02,M50-59
476,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:54:31,M50-59
476,06-03,DéfiTri-O-Lacs,10KM,00:48:37,M50-59
476,05-27,OttawaRaceWeekend,MARATHON,04:06:27,M55-59
476,04-29,BanqueScotia21kmet5km,"21,1KM",01:46:49,M55-59
476,04-22,CourseSaint-Laurent,10KM,00:47:22,M50-59
476,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:47:06,M50-59
476,02-19,DéfiHivernalIleBizard,10KM,00:48:55,M50-59

481,06-30,DemiMarathondeSherbrooke,10KM,00:54:29,M20-29
481,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:50:35,M50-59

482,09-23,MarathonOasisdeMontreal,MARATHON,03:28:03,M35-39
482,08-26,TriathlondeValleyfield,TRIATHLONOLYMPIQUE,02:45:51,M35-39
482,05-20,DuathlonSorel-Tracy,DUATHLONCOMPETITION,01:35:00,M30-39
482,04-29,BanqueScotia21kmet5km,"21,1KM",01:31:51,M35-39
482,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:39:19,M30-39

483,09-08,TriathlonEspritdeMontreal,TRIATHLONSPRINT,01:13:28,M30-34
483,08-19,CoupeDix302012,10KM,00:44:59,M30-39
483,08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM,00:55:10,M30-39

486,08-15,Le5kmEndurance,5KM,00:18:32,M30-39
486,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,04:59:49,M30-34
486,06-03,DefidesEscaliers,GRIMPEURS,00:02:50,M30-39
486,06-03,DefidesEscaliers,19KM,-1,M30-39
486,06-03,DefidesEscaliers,SPRINTEURS,00:16:29,M30-39
486,05-26,DefiPhysioExtradeTerrebonne,10KM,00:38:38,M20-29

487,09-23,MarathonOasisdeMontreal,MARATHON,03:49:19,F45-49

489,09-23,MarathonOasisdeMontreal,MARATHON,04:40:09,M40-44
489,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:45:43,M40-49

490,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:20:25,M30-34

492,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:37:11,M35-39

495,09-23,MarathonOasisdeMontreal,MARATHON,04:33:06,M35-39
495,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:51:44,M30-39

497,09-23,MarathonOasisdeMontreal,MARATHON,03:36:52,F40-44

498,09-23,Marathon Oasis de Montreal,Marathon,03:16:00,M18-24

500,09-23,MarathonOasisdeMontreal,MARATHON,04:02:05,F35-39

501,09-23,Marathon Oasis de Montreal,Marathon,03:44:28,M35-39

503,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,02:28:28,M30-39

505,09-23,Marathon Oasis de Montreal,Marathon,04:11:20,F45-49

515,09-23,MarathonOasisdeMontreal,MARATHON,04:29:45,M45-49
515,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,04:29:14,M40-49
515,06-17,TourduLacBrome,20KMROUTE,01:45:07,M40-49
515,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:50:45,M40-49

517,09-23,MarathonOasisdeMontreal,MARATHON,03:13:59,M40-44

529,08-12,Demi-MarathonduMont-Tremblant,DEMI-MARATHON,01:22:44,M30-39

530,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:46:37,M20-29
530,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:42:56,M20-29

533,09-23,MarathonOasisdeMontreal,MARATHON,03:53:53,M60-64

545,09-23,MarathonOasisdeMontreal,10KM,01:01:36,M50-54

548,09-23,MarathonOasisdeMontreal,MARATHON,03:29:16,M18-24

551,11-04,OkaRoadRace,10KCOURSE,00:42:39,F30-39
551,10-14,ClassiqueDuParcLaFontaine,10KM,00:43:22,F30-39
551,09-23,MarathonOasisdeMontreal,MARATHON,03:42:27,F35-39
551,05-27,OttawaRaceWeekend,MARATHON,03:44:57,F35-39
551,04-29,BanqueScotia21kmet5km,"21,1KM",01:44:46,F35-39

557,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:50:50,F30-39

564,09-23,MarathonOasisdeMontreal,MARATHON,03:28:56,M25-29
564,06-17,TourduLacBrome,20KMROUTE,01:32:30,M20-29

572,09-23,Marathon Oasis de Montreal,Marathon,04:40:27,M30-34

577,09-23,MarathonOasisdeMontreal,MARATHON,03:49:55,F50-54
577,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,-1,M50-59
577,08-15,Le5kmEndurance,5KM,00:22:17,M50-59

